symbol,sector,adt_20d,worst_5d_adt,de_ratio,de_sector_cap,amihud_ratio,pass_adt,pass_worst5d,pass_de_universal,pass_de_sector_adj,overall_1b_pass
TCS,IT,9497531028.0,6538118592.0,0.0982,1.5,1e-06,True,True,True,True,True
INFY,IT,17907459455.0,10542202951.0,0.1059,1.5,1e-06,True,True,True,True,True
WIPRO,IT,3583038972.0,2275686664.0,0.2208,1.5,3e-06,True,True,True,True,True
HCLTECH,IT,4470113550.0,2612711549.0,0.0901,1.5,3e-06,True,True,True,True,True
TECHM,IT,2797638255.0,1466197036.0,0.0,1.5,3e-06,True,True,True,True,True
LTIM,IT,1265360527.0,696642855.0,0.0985,1.5,1.1e-05,True,True,True,True,True
HDFCBANK,Banking,30314812021.0,18853857875.0,1.105,999.0,0.0,True,True,True,True,True
ICICIBANK,Banking,22682170098.0,13959365920.0,0.6177,999.0,1e-06,True,True,True,True,True
SBIN,Banking,17803494325.0,11499563927.0,1.1577,999.0,1e-06,True,True,True,True,True
KOTAKBANK,Banking,6703116219.0,3132775551.0,0.0,999.0,2e-06,True,True,True,True,True
AXISBANK,Banking,8810086779.0,5637968622.0,1.2635,999.0,2e-06,True,True,True,True,True
INDUSINDBK,Banking,3527997833.0,1561399279.0,0.8283,999.0,6e-06,True,True,True,True,True
MARUTI,Auto,7442945036.0,3444111494.0,0.0009,1.5,3e-06,True,True,True,True,True
M&M,Auto,10978058770.0,6525523090.0,1.6219,1.5,2e-06,True,True,False,False,False
BAJAJ-AUTO,Auto,3143717638.0,1869823460.0,0.5726,1.5,5e-06,True,True,True,True,True
HEROMOTOCO,Auto,2500466839.0,1552773500.0,0.0342,1.5,7e-06,True,True,True,True,True
SUNPHARMA,Pharma,4502497359.0,2028122811.0,0.0327,1.5,2e-06,True,True,True,True,True
DRREDDY,Pharma,2116653582.0,1134687576.0,0.1819,1.5,5e-06,True,True,True,True,True
CIPLA,Pharma,2051011808.0,1196368872.0,0.014,1.5,5e-06,True,True,True,True,True
DIVISLAB,Pharma,1691687791.0,841741741.0,0.0003,1.5,5e-06,True,True,True,True,True
BIOCON,Pharma,1187483936.0,708029217.0,0.6169,1.5,8e-06,True,True,True,True,True
RELIANCE,Energy,23996592557.0,12183982480.0,0.0,1.5,1e-06,True,True,True,True,True
ONGC,Energy,7222343558.0,3332600526.0,0.4786,1.5,2e-06,True,True,True,True,True
NTPC,Energy,5104378928.0,2578892957.0,1.3587,1.5,2e-06,True,True,True,True,True
POWERGRID,Energy,4829874200.0,3085678616.0,1.4517,1.5,2e-06,True,True,True,True,True
ADANIGREEN,Energy,2613377199.0,1115681275.0,6.5947,1.5,7e-06,True,True,False,False,False
HINDUNILVR,FMCG,3766955222.0,2407940023.0,0.0334,1.5,3e-06,True,True,True,True,True
ITC,FMCG,6589968501.0,4030008027.0,0.0041,1.5,2e-06,True,True,True,True,True
NESTLEIND,FMCG,1358815983.0,697340012.0,0.291,1.5,8e-06,True,True,True,True,True
BRITANNIA,FMCG,1906197248.0,1056724584.0,0.3369,1.5,5e-06,True,True,True,True,True
DABUR,FMCG,794422364.0,423777255.0,1.0191,1.5,2.5e-05,True,True,True,True,True
TATASTEEL,Metals,7064714336.0,4654302740.0,0.6554,2.5,3e-06,True,True,True,True,True
HINDALCO,Metals,6023214976.0,3678811019.0,0.1851,2.5,3e-06,True,True,True,True,True
JSWSTEEL,Metals,1867329241.0,1089063306.0,0.1501,2.5,9e-06,True,True,True,True,True
VEDL,Metals,8977067327.0,5792973969.0,0.5309,2.5,2e-06,True,True,True,True,True
COALINDIA,Metals,5177725264.0,2299840392.0,0.1738,2.5,3e-06,True,True,True,True,True
BAJFINANCE,Finance,7431725407.0,4269228911.0,0.4351,999.0,2e-06,True,True,True,True,True
BAJAJFINSV,Finance,2220883086.0,953885040.0,1.0559,999.0,7e-06,True,True,True,True,True
SBILIFE,Finance,1801702656.0,848306193.0,0.9942,999.0,7e-06,True,True,True,True,True
HDFCLIFE,Finance,2149141799.0,1180039748.0,0.8934,999.0,6e-06,True,True,True,True,True
ICICIPRULI,Finance,748177358.0,329644561.0,0.8163,999.0,1.8e-05,True,True,True,True,True
ULTRACEMCO,Cement,4004588959.0,1927668271.0,0.81,2.0,5e-06,True,True,True,True,True
GRASIM,Cement,2458107640.0,1356315925.0,0.168,2.0,7e-06,True,True,True,True,True
ADANIENT,Infra,2846389584.0,2098750870.0,0.8527,3.0,5e-06,True,True,True,True,True
LT,Infra,16306877434.0,8456886811.0,0.4226,3.0,1e-06,True,True,True,True,True
GODREJPROP,Realty,2409895774.0,1180622639.0,0.1202,2.5,8e-06,True,True,True,True,True
TITAN,Consumer,2957024472.0,1861694613.0,0.1139,1.5,4e-06,True,True,True,True,True
ASIANPAINT,Consumer,2620147948.0,1353154661.0,0.1298,1.5,4e-06,True,True,True,True,True
PIDILITIND,Consumer,1024764777.0,468998712.0,0.7201,1.5,1.5e-05,True,True,True,True,True
HAVELLS,Consumer,1018423339.0,389293722.0,1.0512,1.5,1.6e-05,True,True,True,True,True
TRENT,Consumer,2844086832.0,1499224319.0,0.1339,1.5,6e-06,True,True,True,True,True
