symbol,sector,mrs_raw,deliv_raw,vam_raw,fq_raw,rev_raw,ret_3m,ret_6m,mrs_rank,deliv_rank,vam_rank,fq_rank,rev_rank,composite
TCS,IT,-6.5855,1.0,-0.7938,1.2157,0.6906,-24.02,-21.45,0.0784313725490196,0.5098039215686274,0.0196078431372549,0.5581395348837209,0.11764705882352941,25.476516187870494
INFY,IT,-5.9969,1.0,-0.5228,2.0225,1.5,-22.6,-17.01,0.13725490196078433,0.5098039215686274,0.0784313725490196,0.9767441860465116,0.7941176470588235,46.642726858185135
WIPRO,IT,-6.0112,1.0,-0.6756,1.9661,0.6573,-24.29,-21.9,0.11764705882352941,0.5098039215686274,0.058823529411764705,0.9534883720930233,0.0784313725490196,34.559963520291845
HCLTECH,IT,-8.4358,1.0,-0.1314,,1.1209,-19.44,-8.54,0.0392156862745098,0.5098039215686274,0.1568627450980392,,0.43137254901960786,
TECHM,IT,-5.5335,1.0,0.1737,,1.437,-14.98,-10.79,0.17647058823529413,0.5098039215686274,0.21568627450980393,,0.7647058823529411,
LTIM,IT,-9.0716,1.0,0.3027,1.8727,0.9991,-32.9,-20.79,0.0196078431372549,0.5098039215686274,0.29411764705882354,0.9302325581395349,0.2549019607843137,38.99680802553579
HDFCBANK,Banking,-3.6613,1.0,0.666,,0.9,-14.98,-12.58,0.29411764705882354,0.5098039215686274,0.49019607843137253,,0.18627450980392157,
ICICIBANK,Banking,1.2321,1.0,0.6969,,0.9512,-5.66,-9.21,0.5686274509803921,0.5098039215686274,0.5098039215686274,,0.23529411764705882,
SBIN,Banking,5.3414,1.0,2.5258,,1.6667,10.77,29.09,0.803921568627451,0.5098039215686274,1.0,,0.9019607843137255,
KOTAKBANK,Banking,-1.9399,1.0,0.4637,,1.0089,-14.27,-5.06,0.39215686274509803,0.5098039215686274,0.35294117647058826,,0.3137254901960784,
AXISBANK,Banking,1.5553,1.0,1.2095,,1.2,0.7,11.2,0.6078431372549019,0.5098039215686274,0.8431372549019608,,0.5686274509803921,
INDUSINDBK,Banking,0.7017,1.0,1.3863,0.9629,1.7209,-2.86,10.94,0.5294117647058824,0.5098039215686274,0.8627450980392157,0.27906976744186046,0.9215686274509803,60.09119927040584
MARUTI,Auto,-5.0047,1.0,1.1391,0.859,0.4326,-20.68,-15.02,0.21568627450980393,0.5098039215686274,0.7843137254901961,0.06976744186046512,0.0392156862745098,33.25809393524852
