symbol,sector,m_score,ccr,mrs,lvgi,rev_proxy,ret_3m,ret_6m,below_200dma,passes_mscore_m1_5,passes_mscore_m2_0,passes_rs_gate,would_qualify_current,would_qualify_relaxed
TCS,IT,2.357,3.2963,0.0,0.9217,0.6906,-24.02,-21.45,True,True,True,False,False,True
INFY,IT,-2.6344,3.4677,0.0,0.8392,1.5,-22.6,-17.01,True,False,False,False,False,False
WIPRO,IT,-2.4844,3.0253,0.0,0.8962,0.6573,-24.29,-21.9,True,False,False,False,False,False
HCLTECH,IT,,0.0367,0.0,0.9549,1.1209,-19.44,-8.54,True,False,False,False,False,False
TECHM,IT,,-1.0,0.0,1.0,1.437,-14.98,-10.79,True,False,False,False,False,False
LTIM,IT,-2.3489,2.7202,0.0,1.1597,0.9991,-32.9,-20.79,True,False,False,False,False,False
HDFCBANK,Banking,,-1.0,0.0,1.1862,0.9,-14.98,-12.58,True,False,False,False,False,False
ICICIBANK,Banking,,-1.0,0.0,0.9148,0.9512,-5.66,-9.21,True,False,False,False,False,False
SBIN,Banking,,-1.0,0.0,1.0835,1.6667,10.77,29.09,False,False,False,False,False,False
KOTAKBANK,Banking,,-1.0,0.0,1.0,1.0089,-14.27,-5.06,True,False,False,False,False,False
AXISBANK,Banking,,-1.0,0.0,0.9697,1.2,0.7,11.2,False,False,False,False,False,False
INDUSINDBK,Banking,-2.5609,-1.0,0.0,1.0267,1.7209,-2.86,10.94,True,False,False,False,False,False
MARUTI,Auto,-2.2215,-1.0,0.0,1.0371,0.4326,-20.68,-15.02,True,False,False,False,False,False
M&M,Auto,-2.3729,-1.0,0.0,0.9921,0.8649,-13.59,-11.37,True,False,False,False,False,False
BAJAJ-AUTO,Auto,-2.3953,-1.0,0.0,1.1991,1.1329,1.13,0.94,False,False,False,False,False,False
HEROMOTOCO,Auto,-2.4733,-1.0,0.0,1.0073,1.0909,-8.19,3.23,False,False,False,False,False,False
SUNPHARMA,Pharma,-2.3041,-1.0,0.0,1.2236,1.3444,1.39,12.74,False,False,False,False,False,False
DRREDDY,Pharma,-2.6957,2.9235,0.0,0.9136,1.6364,0.54,-1.31,False,False,False,False,False,False
CIPLA,Pharma,-2.5028,-1.0,0.0,0.851,0.3594,-14.52,-17.21,True,False,False,False,False,False
DIVISLAB,Pharma,-2.5589,-1.0,0.0,0.9731,1.2857,-3.93,0.49,True,False,False,False,False,False
BIOCON,Pharma,-2.5493,-1.0,0.0,0.9618,1.2387,-1.91,5.39,False,False,False,False,False,False
RELIANCE,Energy,,-1.0,0.0,1.0,1.0895,-9.38,-0.12,True,False,False,False,False,False
ONGC,Energy,-2.4502,-1.0,0.0,0.9612,1.6364,16.7,19.53,False,False,False,False,False,False
NTPC,Energy,-2.5227,-1.0,0.0,1.0695,2.5385,20.33,17.65,False,False,False,False,False,False
POWERGRID,Energy,-2.2922,-1.0,0.0,1.1996,2.1,15.94,7.22,False,False,False,False,False,False
ADANIGREEN,Energy,-2.7038,-1.0,0.0,1.1976,1.2,-15.52,-11.96,True,False,False,False,False,False
HINDUNILVR,FMCG,-2.3674,-1.0,0.0,1.2393,0.6445,-5.39,-15.72,True,False,False,False,False,False
ITC,FMCG,-2.5111,-1.0,0.0,1.108,1.2,-22.52,-24.58,True,False,False,False,False,False
NESTLEIND,FMCG,-2.3573,-1.0,0.0,1.0973,1.25,-2.19,0.08,True,False,False,False,False,False
BRITANNIA,FMCG,-2.434,0.5826,0.0,1.0188,1.1912,-3.44,-5.71,False,False,False,False,False,False
DABUR,FMCG,-2.3038,1.244,0.0,1.073,1.0,-8.97,-15.88,True,False,False,False,False,False
TATASTEEL,Metals,-2.544,0.843,0.0,0.8493,1.4155,15.07,15.48,False,False,False,False,False,False
HINDALCO,Metals,-2.0926,0.8462,0.0,1.1877,1.1204,11.89,24.28,False,False,False,False,False,False
JSWSTEEL,Metals,-2.514,1.4631,0.0,1.0632,1.0714,7.81,6.02,False,False,False,False,False,False
VEDL,Metals,-2.3818,0.3587,0.0,1.1331,1.5399,22.8,53.91,False,False,False,False,False,False
COALINDIA,Metals,-2.6183,1.0945,0.0,1.1029,2.0,22.74,21.86,False,False,False,False,False,False
BAJFINANCE,Finance,-2.4385,0.4,0.0,1.1391,1.0,-13.0,-13.99,True,False,False,False,False,False
BAJAJFINSV,Finance,-2.3722,0.6218,0.0,1.1673,1.0138,-12.8,-14.68,True,False,False,False,False,False
SBILIFE,Finance,-2.5564,0.4175,0.0,0.8849,1.2502,-4.97,6.18,False,False,False,False,False,False
HDFCLIFE,Finance,-2.4703,0.7232,0.0,0.9228,1.2917,-15.97,-17.36,True,False,False,False,False,False
ICICIPRULI,Finance,-2.5893,0.702,0.0,0.901,0.6814,-7.13,-2.11,True,False,False,False,False,False
ULTRACEMCO,Cement,-2.6691,1.5193,0.0,0.9005,1.152,-3.57,-10.61,True,False,False,False,False,False
GRASIM,Cement,-2.5777,0.4318,0.0,1.0346,1.5147,-4.14,-4.25,True,False,False,False,False,False
ADANIENT,Infra,-2.2794,0.8112,0.0,1.1605,1.5,-12.12,-17.12,True,False,False,False,False,False
LT,Infra,-2.3057,0.9661,0.0,1.2461,0.9231,-12.82,-1.21,True,False,False,False,False,False
GODREJPROP,Realty,-2.5399,0.4609,0.0,1.1448,0.9,-21.71,-22.21,True,False,False,False,False,False
TITAN,Consumer,-2.2909,0.9273,0.0,1.1993,1.9489,4.1,15.74,False,False,False,False,False,False
ASIANPAINT,Consumer,-2.6524,0.6179,0.0,1.0247,1.1436,-19.8,-10.43,True,False,False,False,False,False
PIDILITIND,Consumer,-2.5318,0.7792,0.0,1.2394,1.2852,-7.88,-11.71,True,False,False,False,False,False
HAVELLS,Consumer,-2.4856,0.731,0.0,1.0659,0.8906,-6.44,-17.18,True,False,False,False,False,False
TRENT,Consumer,-2.4001,1.3426,0.0,1.0727,1.1575,-11.54,-29.19,True,False,False,False,False,False
