symbol,sector,m_score,ccr,de,ret_3m,ret_6m,mrs,passes_mscore,passes_ccr,passes_de,passes_momentum,would_qualify
TCS,IT,2.357,3.2963,0.0982,-24.02,-21.45,-6.59,False,True,True,False,False
INFY,IT,-2.6344,3.4677,0.1059,-22.6,-17.01,-6.0,True,True,True,False,False
WIPRO,IT,-2.4844,3.0253,0.2208,-24.29,-21.9,-6.01,True,True,True,False,False
HCLTECH,IT,,0.0367,0.0901,-19.44,-8.54,-8.44,False,False,True,False,False
TECHM,IT,,-1.0,0.0,-14.98,-10.79,-5.53,False,False,True,False,False
LTIM,IT,-2.3489,2.7202,0.0985,-32.9,-20.79,-9.07,True,True,True,False,False
HDFCBANK,Banking,,-1.0,1.105,-14.98,-12.58,-3.66,False,False,True,False,False
ICICIBANK,Banking,,-1.0,0.6177,-5.66,-9.21,1.23,False,False,True,False,False
SBIN,Banking,,-1.0,1.1577,10.77,29.09,5.34,False,False,True,True,False
KOTAKBANK,Banking,,-1.0,0.0,-14.27,-5.06,-1.94,False,False,True,False,False
AXISBANK,Banking,,-1.0,1.2635,0.7,11.2,1.56,False,False,True,True,False
INDUSINDBK,Banking,-2.5609,-1.0,0.8283,-2.86,10.94,0.7,True,False,True,True,False
MARUTI,Auto,-2.2215,-1.0,0.0009,-20.68,-15.02,-5.0,True,False,True,False,False
M&M,Auto,-2.3729,-1.0,1.6219,-13.59,-11.37,-2.45,True,False,False,False,False
BAJAJ-AUTO,Auto,-2.3953,-1.0,0.5726,1.13,0.94,2.54,True,False,True,True,False
HEROMOTOCO,Auto,-2.4733,-1.0,0.0342,-8.19,3.23,1.51,True,False,True,True,False
SUNPHARMA,Pharma,-2.3041,-1.0,0.0327,1.39,12.74,12.37,True,False,True,True,False
DRREDDY,Pharma,-2.6957,2.9235,0.1819,0.54,-1.31,9.99,True,True,True,True,True
CIPLA,Pharma,-2.5028,-1.0,0.014,-14.52,-17.21,-1.63,True,False,True,False,False
DIVISLAB,Pharma,-2.5589,-1.0,0.0003,-3.93,0.49,1.87,True,False,True,True,False
BIOCON,Pharma,-2.5493,-1.0,0.6169,-1.91,5.39,3.21,True,False,True,True,False
RELIANCE,Energy,,-1.0,0.0,-9.38,-0.12,2.86,False,False,True,False,False
ONGC,Energy,-2.4502,-1.0,0.4786,16.7,19.53,14.99,True,False,True,True,False
NTPC,Energy,-2.5227,-1.0,1.3587,20.33,17.65,19.4,True,False,True,True,False
POWERGRID,Energy,-2.2922,-1.0,1.4517,15.94,7.22,16.73,True,False,True,True,False
ADANIGREEN,Energy,-2.7038,-1.0,6.5947,-15.52,-11.96,-3.73,True,False,False,False,False
HINDUNILVR,FMCG,-2.3674,-1.0,0.0334,-5.39,-15.72,-1.4,True,False,True,False,False
ITC,FMCG,-2.5111,-1.0,0.0041,-22.52,-24.58,-6.57,True,False,True,False,False
NESTLEIND,FMCG,-2.3573,-1.0,0.291,-2.19,0.08,2.7,True,False,True,True,False
BRITANNIA,FMCG,-2.434,0.5826,0.3369,-3.44,-5.71,5.88,True,False,True,False,False
DABUR,FMCG,-2.3038,1.244,1.0191,-8.97,-15.88,-1.74,True,True,True,False,False
TATASTEEL,Metals,-2.544,0.843,0.6554,15.07,15.48,13.45,True,True,True,True,True
HINDALCO,Metals,-2.0926,0.8462,0.1851,11.89,24.28,13.62,False,True,True,True,False
JSWSTEEL,Metals,-2.514,1.4631,0.1501,7.81,6.02,3.35,True,True,True,True,True
VEDL,Metals,-2.3818,0.3587,0.5309,22.8,53.91,11.06,True,False,True,True,False
COALINDIA,Metals,-2.6183,1.0945,0.1738,22.74,21.86,22.14,True,True,True,True,True
BAJFINANCE,Finance,-2.4385,0.4,0.4351,-13.0,-13.99,-2.48,True,False,True,False,False
BAJAJFINSV,Finance,-2.3722,0.6218,1.0559,-12.8,-14.68,-2.36,True,False,True,False,False
SBILIFE,Finance,-2.5564,0.4175,0.9942,-4.97,6.18,4.11,True,False,True,True,False
HDFCLIFE,Finance,-2.4703,0.7232,0.8934,-15.97,-17.36,-5.64,True,True,True,False,False
ICICIPRULI,Finance,-2.5893,0.702,0.8163,-7.13,-2.11,0.16,True,True,True,False,False
ULTRACEMCO,Cement,-2.6691,1.5193,0.81,-3.57,-10.61,-0.58,True,True,True,False,False
GRASIM,Cement,-2.5777,0.4318,0.168,-4.14,-4.25,3.14,True,False,True,False,False
ADANIENT,Infra,-2.2794,0.8112,0.8527,-12.12,-17.12,-3.94,True,True,True,False,False
LT,Infra,-2.3057,0.9661,0.4226,-12.82,-1.21,-2.16,True,True,True,False,False
GODREJPROP,Realty,-2.5399,0.4609,0.1202,-21.71,-22.21,-5.06,True,False,True,False,False
TITAN,Consumer,-2.2909,0.9273,0.1139,4.1,15.74,4.87,True,True,True,True,True
ASIANPAINT,Consumer,-2.6524,0.6179,0.1298,-19.8,-10.43,-6.8,True,False,True,False,False
PIDILITIND,Consumer,-2.5318,0.7792,0.7201,-7.88,-11.71,-0.12,True,True,True,False,False
HAVELLS,Consumer,-2.4856,0.731,1.0512,-6.44,-17.18,1.04,True,True,True,False,False
TRENT,Consumer,-2.4001,1.3426,0.1339,-11.54,-29.19,-4.84,True,True,True,False,False
